Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church,Undecided
51,1,1,1,4,171,15,0,1
46,1,1,1,6,420,15,1,0
55,1,0,1,6,132,16,0,1
50,1,0,1,4,18,8,0,0
49,1,1,1,2,66,15,1,1
56,1,1,1,5,127,13,1,1
30,1,1,1,7,79,15,1,1
54,0,1,1,5,122,12,0,0
45,1,1,1,5,83,18,1,0
34,1,0,1,3,289,15,0,0
41,1,0,0,4,74,15,0,1
49,1,1,1,3,222,20,1,0
56,1,0,1,3,73,16,0,1
41,1,1,1,5,161,9,1,0
59,1,1,1,4,71,20,1,0
38,0,1,1,3,242,18,1,0
52,1,0,1,3,276,15,0,0
47,1,1,1,3,130,20,1,0
57,1,1,1,2,94,15,0,1
66,1,1,1,4,163,20,1,0
54,1,1,1,5,99,18,0,1
48,1,1,1,3,104,18,0,1
63,1,1,0,3,174,20,1,0
62,1,0,0,2,136,16,0,1
37,1,0,1,2,198.5,9,1,0
67,1,1,1,3,18,8,0,0
54,1,1,0,1,53,20,0,1
56,1,1,1,3,80,20,0,1
51,1,1,1,3,53,16,0,1
35,1,1,1,3,78,18,1,0
38,1,1,0,3,40.5,15,0,1
63,1,1,1,3,90,20,0,1
52,0,1,0,4,53,16,1,1
32,1,0,1,4,75,18,0,1
52,1,1,1,5,172,18,1,0
43,1,0,1,2,90,9,0,0
38,0,1,1,5,354,15,0,0
53,1,0,1,4,227,18,0,0
58,1,1,1,4,77,20,1,0
53,1,1,0,4,106,18,1,0
57,1,1,0,1,65,20,0,1
53,1,1,1,7,134,15,1,1
57,1,1,1,2,139,12,1,0
57,1,1,1,3,4,20,0,1
37,1,0,1,3,62,8,0,0
50,1,1,1,3,101,20,1,0
45,1,1,1,4,323,15,0,0
55,1,1,1,5,26,16,1,1
34,1,0,1,5,66,15,0,1
50,1,1,0,3,41,20,1,0
64,1,1,1,3,103,8,0,0
50,1,1,1,3,58,15,1,1
35,1,1,1,5,174,18,1,0
49,1,1,1,5,66,20,1,0
64,1,1,1,5,73,20,0,1
54,1,1,1,2,218,18,1,1
37,0,0,1,2,114,18,1,0
48,1,1,1,2,49,15,1,1
65,0,1,1,5,32,8,0,0
39,1,1,1,3,167,18,1,0
49,1,1,1,4,216,12,0,0
39,1,1,1,4,84,15,1,1
56,1,1,1,2,88,20,1,0
54,1,0,1,2,82,9,0,0
48,1,1,0,1,68,10,0,0
54,1,1,1,2,47,8,1,0
42,1,1,1,3,138,15,1,1
51,1,1,0,1,92,18,0,1
73,0,1,1,2,90,20,0,1
65,1,1,1,4,171,20,0,1
47,1,1,1,5,96,15,0,1
33,1,1,1,4,81,8,0,0
44,1,0,1,7,135,20,0,0
45,1,0,1,6,190,16,0,0
51,1,1,1,4,150,18,0,1
38,1,1,1,4,130,15,0,1
38,1,1,1,3,131,18,0,1
43,1,1,1,4,119,20,1,0
55,1,1,1,3,78.5,20,1,0
43,0,0,0,1,24,8,1,0
59,1,0,0,3,71,20,0,0
51,1,1,1,3,164,13,1,1
55,1,1,1,5,51,20,0,1
51,1,1,1,3,127,18,0,1
54,1,1,1,3,92,20,1,0
48,0,0,1,3,85,20,0,0
54,1,0,1,4,126,18,1,0
64,1,0,1,3,100,16,0,1
62,0,1,0,3,65.5,20,0,1
39,1,0,1,4,91,15,0,1
43,1,1,1,4,233,18,0,1
66,1,1,0,2,38,20,1,0
44,1,1,1,3,157,12,1,0
60,1,0,1,2,134,20,0,0
37,1,1,1,3,161,18,0,1
47,1,1,1,3,101,12,1,0
46,0,1,1,4,123,18,1,0
46,1,1,0,1,85,18,0,1
61,1,1,1,5,108,20,0,1
41,1,1,1,4,99,18,1,0
57,1,1,1,5,87,16,0,1
50,1,1,1,3,44,18,1,0
52,1,1,1,4,57,8,0,0
55,1,0,1,4,237,20,0,0
56,1,0,1,4,56,20,1,0
69,1,1,1,2,30,20,1,0
33,1,1,1,2,111.5,8,0,0
37,0,1,1,4,107,15,0,1
51,1,1,1,3,82,20,0,1
36,1,0,1,3,160,15,1,1
46,1,1,1,2,96,18,0,1
39,1,1,0,4,31,18,1,0
64,1,1,1,3,16,13,0,1
53,1,1,1,5,124,8,1,0
46,1,1,0,1,82,18,0,1
61,1,0,1,3,77,20,1,0
47,1,0,1,4,132,12,0,0
36,1,1,1,7,60,15,1,1
49,1,0,1,4,138,16,1,1
63,1,1,1,5,450,20,1,0
37,1,0,1,3,20,12,1,1
41,1,1,0,2,22,10,1,0
54,1,0,1,3,110.5,8,1,0
46,0,1,0,1,135.5,8,0,0
47,1,0,1,3,177,20,1,0
61,1,0,1,6,12,16,1,1
42,0,1,1,5,59,18,0,1
35,1,1,1,6,28,15,0,1
49,1,1,1,2,117,12,1,0
58,1,1,1,2,112,20,0,1
57,1,1,1,2,108,8,1,0
45,1,1,1,2,98,18,1,0
33,1,1,1,3,21,18,1,1
43,1,1,1,6,77,12,0,0
44,1,1,0,5,79.5,18,1,0
58,0,1,1,3,16,16,0,1
43,1,1,1,6,119,15,1,1
43,1,1,1,4,85,20,1,0
51,0,0,1,3,107,9,0,0
54,0,0,1,3,49,8,0,0
49,1,1,1,4,154,15,1,1
75,1,1,0,1,67,20,1,0
32,1,1,1,3,37,15,0,1
52,1,1,1,2,69.5,20,1,0
48,1,0,1,3,90,20,0,0
34,1,1,1,3,4,18,1,0
34,1,0,1,3,126,15,0,1
31,1,0,1,5,108,15,1,1
50,1,0,0,2,118,20,1,0
46,1,0,1,5,153,18,1,0
49,0,1,1,3,112,13,0,1
54,1,1,1,4,46,18,1,0
45,1,1,1,3,134,18,1,0
65,1,1,0,4,58,8,0,0
36,1,1,1,5,91,18,1,0
58,1,1,1,3,88,20,0,1
37,1,1,1,5,142,18,1,0
49,0,0,1,7,117,8,0,0
34,1,1,1,4,94,12,0,0
35,1,1,1,6,229,15,1,0
54,1,1,1,2,32,20,1,0
48,1,1,0,1,61,18,0,1
57,1,1,1,2,50,16,1,1
47,1,0,0,2,31,18,1,1
29,1,1,1,7,131,15,0,1
59,1,1,0,1,41,20,1,0
61,1,0,1,3,127,20,0,0
44,1,0,0,1,59,18,1,1
43,1,1,1,3,260,20,1,0
55,1,1,1,2,178,18,0,1
62,1,1,0,1,131,20,0,1
61,1,1,1,3,26,20,1,0
47,1,1,1,7,165,15,1,1
53,1,1,1,5,220,20,1,0
46,1,1,1,4,187,12,1,0
37,1,1,1,2,81.5,15,0,1
57,1,1,1,3,68.5,15,0,1
30,1,1,1,6,291,15,0,0
58,1,1,0,1,107.5,8,1,0
30,1,1,1,5,504,15,0,0
45,1,0,1,3,179,16,0,0
42,1,1,0,1,64,20,0,1
58,1,1,1,6,18,15,1,1
54,1,1,0,1,48,18,1,0
62,1,1,0,1,30,20,0,1
32,1,1,1,4,424,15,0,0
34,1,1,1,2,256,15,0,0
37,1,1,1,5,17,15,0,1
41,1,0,1,4,56,15,1,1
51,0,0,1,2,58,18,1,0
50,0,0,1,2,47,8,1,0
36,1,1,0,1,94,9,0,0
47,1,1,1,6,17,15,0,1
43,1,1,1,4,38,8,1,0
47,1,1,1,3,137,18,0,1
32,1,1,1,5,96,8,0,0
48,1,1,1,4,144,18,0,1
41,1,1,1,6,132,15,0,1
40,1,0,0,3,60,8,0,0
43,1,1,1,3,21,18,0,1
41,0,1,0,3,26,8,0,0
54,1,0,0,1,111,20,1,0
64,1,1,1,2,120,20,0,1
47,1,1,0,2,48,18,1,0
28,1,1,1,7,82,12,1,0
35,1,0,1,4,189,18,0,0
51,1,1,1,2,56,20,0,1
43,0,1,0,6,22,10,1,0
49,1,1,1,4,171,20,0,1
56,1,0,1,2,62,20,0,0
53,1,1,1,6,69,12,1,0
46,1,1,1,3,55,18,0,1
57,1,1,1,4,96,20,0,1
53,1,0,1,6,27,16,0,1
55,1,1,0,2,52,9,0,0
64,1,0,1,4,115,20,0,0
53,1,1,0,2,28,10,0,0
49,1,1,1,2,146,18,0,1
45,1,0,1,5,113,16,0,1
60,0,0,0,2,5,20,1,0
47,1,1,1,5,88,15,0,1
58,1,1,1,4,84,18,1,0
43,1,1,1,3,55,18,1,0
60,1,1,0,1,90,20,1,0
67,1,1,0,1,4,20,1,0
50,1,1,1,3,33,18,1,0
